Dice Combination,Tag A,Tag B,Tag C,Tag D,Total Base,Final Score,Final Multiplier
"1-1-1-1-1-2-8-8","五同","無","小葫蘆","無",23.00,483.00,21.00
"1-1-1-1-1-3-3-3","五同","無","葫蘆","絕對秩序",14.00,10080.00,720.00
"1-1-1-1-1-3-3-4","五同","無","小葫蘆","無",15.00,315.00,21.00
"1-1-1-1-1-3-3-5","五同","無","小葫蘆","絕對秩序",16.00,2688.00,168.00
"1-1-1-1-1-3-3-6","五同","無","小葫蘆","無",17.00,357.00,21.00
"1-1-1-1-1-3-3-7","五同","無","小葫蘆","絕對秩序",18.00,3024.00,168.00
"1-1-1-1-1-3-3-8","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-3-4-4","五同","無","小葫蘆","無",16.00,336.00,21.00
"1-1-1-1-1-3-4-5","五同","三連順","順碰交響曲","無",17.00,816.00,48.00
"1-1-1-1-1-3-4-6","五同","無","小葫蘆","無",18.00,378.00,21.00
"1-1-1-1-1-3-4-7","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-3-4-8","五同","無","小葫蘆","無",20.00,420.00,21.00
"1-1-1-1-1-3-5-5","五同","無","小葫蘆","絕對秩序",18.00,3024.00,168.00
"1-1-1-1-1-3-5-6","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-3-5-7","五同","無","小葫蘆","絕對秩序",20.00,3360.00,168.00
"1-1-1-1-1-3-5-8","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-3-6-6","五同","無","小葫蘆","無",20.00,420.00,21.00
"1-1-1-1-1-3-6-7","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-3-6-8","五同","無","小葫蘆","無",22.00,462.00,21.00
"1-1-1-1-1-3-7-7","五同","無","小葫蘆","絕對秩序",22.00,3696.00,168.00
"1-1-1-1-1-3-7-8","五同","無","小葫蘆","無",23.00,483.00,21.00
"1-1-1-1-1-3-8-8","五同","無","小葫蘆","無",24.00,504.00,21.00
"1-1-1-1-1-4-4-4","五同","無","葫蘆","無",17.00,1530.00,90.00
"1-1-1-1-1-4-4-5","五同","無","小葫蘆","無",18.00,378.00,21.00
"1-1-1-1-1-4-4-6","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-4-4-7","五同","無","小葫蘆","無",20.00,420.00,21.00
"1-1-1-1-1-4-4-8","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-4-5-5","五同","無","小葫蘆","無",19.00,399.00,21.00
"1-1-1-1-1-4-5-6","五同","三連順","順碰交響曲","無",20.00,960.00,48.00
"1-1-1-1-1-4-5-7","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-4-5-8","五同","無","小葫蘆","無",22.00,462.00,21.00
"1-1-1-1-1-4-6-6","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-4-6-7","五同","無","小葫蘆","無",22.00,462.00,21.00
"1-1-1-1-1-4-6-8","五同","無","小葫蘆","無",23.00,483.00,21.00
"1-1-1-1-1-4-7-7","五同","無","小葫蘆","無",23.00,483.00,21.00
"1-1-1-1-1-4-7-8","五同","無","小葫蘆","無",24.00,504.00,21.00
"1-1-1-1-1-4-8-8","五同","無","小葫蘆","無",25.00,525.00,21.00
"1-1-1-1-1-5-5-5","五同","無","葫蘆","絕對秩序",20.00,14400.00,720.00
"1-1-1-1-1-5-5-6","五同","無","小葫蘆","無",21.00,441.00,21.00
"1-1-1-1-1-5-5-7","五同","無","小葫蘆","絕對秩序",22.00,3696.00,168.00
"1-1-1-1-1-5-5-8","五同","無","小葫蘆","無",23.00,483.00,21.00
"1-1-1-1-1-5-6-6","五同","無","小葫蘆","無",22.00,462.00,21.00
"1-1-1-1-1-5-6-7","五同","三連順","順碰交響曲","無",23.00,1104.00,48.00
"1-1-1-1-1-5-6-8","五同","無","小葫蘆","無",24.00,504.00,21.00
"1-1-1-1-1-5-7-7","五同","無","小葫蘆","絕對秩序",24.00,4032.00,168.00
"1-1-1-1-1-5-7-8","五同","無","小葫蘆","無",25.00,525.00,21.00
"1-1-1-1-1-5-8-8","五同","無","小葫蘆","無",26.00,546.00,21.00
"1-1-1-1-1-6-6-6","五同","無","葫蘆","無",23.00,2070.00,90.00
"1-1-1-1-1-6-6-7","五同","無","小葫蘆","無",24.00,504.00,21.00
"1-1-1-1-1-6-6-8","五同","無","小葫蘆","無",25.00,525.00,21.00
"1-1-1-1-1-6-7-7","五同","無","小葫蘆","無",25.00,525.00,21.00
"1-1-1-1-1-6-7-8","五同","三連順","順碰交響曲","無",26.00,1248.00,48.00
"1-1-1-1-1-6-8-8","五同","無","小葫蘆","無",27.00,567.00,21.00
"1-1-1-1-1-7-7-7","五同","無","葫蘆","絕對秩序",26.00,18720.00,720.00
"1-1-1-1-1-7-7-8","五同","無","小葫蘆","無",27.00,567.00,21.00
"1-1-1-1-1-7-8-8","五同","無","小葫蘆","無",28.00,588.00,21.00
"1-1-1-1-1-8-8-8","五同","無","葫蘆","兩極",29.00,78300.00,2700.00
"1-1-1-1-2-2-2-2","四同","無","雙子星","無",12.00,1080.00,90.00
"1-1-1-1-2-2-2-3","四同","三連順","中葫蘆","無",13.00,936.00,72.00
"1-1-1-1-2-2-2-4","四同","無","中葫蘆","無",14.00,504.00,36.00
"1-1-1-1-2-2-2-5","四同","無","中葫蘆","無",15.00,540.00,36.00
"1-1-1-1-2-2-2-6","四同","無","中葫蘆","無",16.00,576.00,36.00
"1-1-1-1-2-2-2-7","四同","無","中葫蘆","無",17.00,612.00,36.00
"1-1-1-1-2-2-2-8","四同","無","中葫蘆","無",18.00,648.00,36.00
"1-1-1-1-2-2-3-3","四同","雙三連順","豪華四對子","無",14.00,2835.00,202.50
"1-1-1-1-2-2-3-4","四同","四連順","順碰交響曲","無",15.00,675.00,45.00
"1-1-1-1-2-2-3-5","四同","三連順","順碰交響曲","無",16.00,576.00,36.00
"1-1-1-1-2-2-3-6","四同","三連順","順碰交響曲","無",17.00,612.00,36.00
"1-1-1-1-2-2-3-7","四同","三連順","順碰交響曲","無",18.00,648.00,36.00
"1-1-1-1-2-2-3-8","四同","三連順","順碰交響曲","無",19.00,684.00,36.00
"1-1-1-1-2-2-4-4","四同","無","豪華四對子","無",16.00,1080.00,67.50
"1-1-1-1-2-2-4-5","四同","無","小葫蘆","無",17.00,267.75,15.75
"1-1-1-1-2-2-4-6","四同","無","小葫蘆","無",18.00,283.50,15.75
"1-1-1-1-2-2-4-7","四同","無","小葫蘆","無",19.00,299.25,15.75
"1-1-1-1-2-2-4-8","四同","無","小葫蘆","無",20.00,315.00,15.75
"1-1-1-1-2-2-5-5","四同","無","豪華四對子","無",18.00,1215.00,67.50
"1-1-1-1-2-2-5-6","四同","無","小葫蘆","無",19.00,299.25,15.75
"1-1-1-1-2-2-5-7","四同","無","小葫蘆","無",20.00,315.00,15.75
"1-1-1-1-2-2-5-8","四同","無","小葫蘆","無",21.00,330.75,15.75
"1-1-1-1-2-2-6-6","四同","無","豪華四對子","無",20.00,1350.00,67.50
"1-1-1-1-2-2-6-7","四同","無","小葫蘆","無",21.00,330.75,15.75
"1-1-1-1-2-2-6-8","四同","無","小葫蘆","無",22.00,346.50,15.75
"1-1-1-1-2-2-7-7","四同","無","豪華四對子","無",22.00,1485.00,67.50
"1-1-1-1-2-2-7-8","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-2-2-8-8","四同","無","豪華四對子","無",24.00,1620.00,67.50
"1-1-1-1-2-3-3-3","四同","三連順","中葫蘆","無",15.00,1080.00,72.00
"1-1-1-1-2-3-3-4","四同","四連順","順碰交響曲","無",16.00,720.00,45.00
"1-1-1-1-2-3-3-5","四同","三連順","順碰交響曲","無",17.00,612.00,36.00
"1-1-1-1-2-3-3-6","四同","三連順","順碰交響曲","無",18.00,648.00,36.00
"1-1-1-1-2-3-3-7","四同","三連順","順碰交響曲","無",19.00,684.00,36.00
"1-1-1-1-2-3-3-8","四同","三連順","順碰交響曲","無",20.00,720.00,36.00
"1-1-1-1-2-3-4-4","四同","四連順","順碰交響曲","無",17.00,765.00,45.00
"1-1-1-1-2-3-4-5","四同","五連順","順碰交響曲","無",18.00,1134.00,63.00
"1-1-1-1-2-3-4-6","四同","四連順","順碰交響曲","無",19.00,855.00,45.00
"1-1-1-1-2-3-4-7","四同","四連順","順碰交響曲","無",20.00,900.00,45.00
"1-1-1-1-2-3-4-8","四同","四連順","順碰交響曲","無",21.00,945.00,45.00
"1-1-1-1-2-3-5-5","四同","三連順","順碰交響曲","無",19.00,684.00,36.00
"1-1-1-1-2-3-5-6","四同","三連順","順碰交響曲","無",20.00,720.00,36.00
"1-1-1-1-2-3-5-7","四同","三連順","順碰交響曲","無",21.00,756.00,36.00
"1-1-1-1-2-3-5-8","四同","三連順","順碰交響曲","無",22.00,792.00,36.00
"1-1-1-1-2-3-6-6","四同","三連順","順碰交響曲","無",21.00,756.00,36.00
"1-1-1-1-2-3-6-7","四同","三連順","順碰交響曲","無",22.00,792.00,36.00
"1-1-1-1-2-3-6-8","四同","三連順","順碰交響曲","無",23.00,828.00,36.00
"1-1-1-1-2-3-7-7","四同","三連順","順碰交響曲","無",23.00,828.00,36.00
"1-1-1-1-2-3-7-8","四同","三連順","順碰交響曲","無",24.00,864.00,36.00
"1-1-1-1-2-3-8-8","四同","三連順","順碰交響曲","無",25.00,900.00,36.00
"1-1-1-1-2-4-4-4","四同","無","中葫蘆","無",18.00,648.00,36.00
"1-1-1-1-2-4-4-5","四同","無","小葫蘆","無",19.00,299.25,15.75
"1-1-1-1-2-4-4-6","四同","無","小葫蘆","無",20.00,315.00,15.75
"1-1-1-1-2-4-4-7","四同","無","小葫蘆","無",21.00,330.75,15.75
"1-1-1-1-2-4-4-8","四同","無","小葫蘆","無",22.00,346.50,15.75
"1-1-1-1-2-4-5-5","四同","無","小葫蘆","無",20.00,315.00,15.75
"1-1-1-1-2-4-5-6","四同","三連順","順碰交響曲","無",21.00,756.00,36.00
"1-1-1-1-2-4-5-7","四同","無","雙對子","無",22.00,198.00,9.00
"1-1-1-1-2-4-5-8","四同","無","雙對子","無",23.00,207.00,9.00
"1-1-1-1-2-4-6-6","四同","無","小葫蘆","無",22.00,346.50,15.75
"1-1-1-1-2-4-6-7","四同","無","雙對子","無",23.00,207.00,9.00
"1-1-1-1-2-4-6-8","四同","無","雙對子","無",24.00,216.00,9.00
"1-1-1-1-2-4-7-7","四同","無","小葫蘆","無",24.00,378.00,15.75
"1-1-1-1-2-4-7-8","四同","無","雙對子","無",25.00,225.00,9.00
"1-1-1-1-2-4-8-8","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-1-1-2-5-5-5","四同","無","中葫蘆","無",21.00,756.00,36.00
"1-1-1-1-2-5-5-6","四同","無","小葫蘆","無",22.00,346.50,15.75
"1-1-1-1-2-5-5-7","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-2-5-5-8","四同","無","小葫蘆","無",24.00,378.00,15.75
"1-1-1-1-2-5-6-6","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-2-5-6-7","四同","三連順","順碰交響曲","無",24.00,864.00,36.00
"1-1-1-1-2-5-6-8","四同","無","雙對子","無",25.00,225.00,9.00
"1-1-1-1-2-5-7-7","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-2-5-7-8","四同","無","雙對子","無",26.00,234.00,9.00
"1-1-1-1-2-5-8-8","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-1-1-2-6-6-6","四同","無","中葫蘆","無",24.00,864.00,36.00
"1-1-1-1-2-6-6-7","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-2-6-6-8","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-1-1-2-6-7-7","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-1-1-2-6-7-8","四同","三連順","順碰交響曲","無",27.00,972.00,36.00
"1-1-1-1-2-6-8-8","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-1-1-2-7-7-7","四同","無","中葫蘆","無",27.00,972.00,36.00
"1-1-1-1-2-7-7-8","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-1-1-2-7-8-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-1-1-2-8-8-8","四同","無","中葫蘆","無",30.00,1080.00,36.00
"1-1-1-1-3-3-3-3","四同","無","雙子星","絕對秩序",16.00,11520.00,720.00
"1-1-1-1-3-3-3-4","四同","無","中葫蘆","無",17.00,612.00,36.00
"1-1-1-1-3-3-3-5","四同","無","中葫蘆","絕對秩序",18.00,5184.00,288.00
"1-1-1-1-3-3-3-6","四同","無","中葫蘆","無",19.00,684.00,36.00
"1-1-1-1-3-3-3-7","四同","無","中葫蘆","絕對秩序",20.00,5760.00,288.00
"1-1-1-1-3-3-3-8","四同","無","中葫蘆","無",21.00,756.00,36.00
"1-1-1-1-3-3-4-4","四同","無","豪華四對子","無",18.00,1215.00,67.50
"1-1-1-1-3-3-4-5","四同","三連順","順碰交響曲","無",19.00,684.00,36.00
"1-1-1-1-3-3-4-6","四同","無","小葫蘆","無",20.00,315.00,15.75
"1-1-1-1-3-3-4-7","四同","無","小葫蘆","無",21.00,330.75,15.75
"1-1-1-1-3-3-4-8","四同","無","小葫蘆","無",22.00,346.50,15.75
"1-1-1-1-3-3-5-5","四同","無","豪華四對子","絕對秩序",20.00,10800.00,540.00
"1-1-1-1-3-3-5-6","四同","無","小葫蘆","無",21.00,330.75,15.75
"1-1-1-1-3-3-5-7","四同","無","小葫蘆","絕對秩序",22.00,2772.00,126.00
"1-1-1-1-3-3-5-8","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-3-3-6-6","四同","無","豪華四對子","無",22.00,1485.00,67.50
"1-1-1-1-3-3-6-7","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-3-3-6-8","四同","無","小葫蘆","無",24.00,378.00,15.75
"1-1-1-1-3-3-7-7","四同","無","豪華四對子","絕對秩序",24.00,12960.00,540.00
"1-1-1-1-3-3-7-8","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-3-3-8-8","四同","無","豪華四對子","無",26.00,1755.00,67.50
"1-1-1-1-3-4-4-4","四同","無","中葫蘆","無",19.00,684.00,36.00
"1-1-1-1-3-4-4-5","四同","三連順","順碰交響曲","無",20.00,720.00,36.00
"1-1-1-1-3-4-4-6","四同","無","小葫蘆","無",21.00,330.75,15.75
"1-1-1-1-3-4-4-7","四同","無","小葫蘆","無",22.00,346.50,15.75
"1-1-1-1-3-4-4-8","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-3-4-5-5","四同","三連順","順碰交響曲","無",21.00,756.00,36.00
"1-1-1-1-3-4-5-6","四同","四連順","順碰交響曲","無",22.00,990.00,45.00
"1-1-1-1-3-4-5-7","四同","三連順","順碰交響曲","無",23.00,828.00,36.00
"1-1-1-1-3-4-5-8","四同","三連順","順碰交響曲","無",24.00,864.00,36.00
"1-1-1-1-3-4-6-6","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-3-4-6-7","四同","無","雙對子","無",24.00,216.00,9.00
"1-1-1-1-3-4-6-8","四同","無","雙對子","無",25.00,225.00,9.00
"1-1-1-1-3-4-7-7","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-3-4-7-8","四同","無","雙對子","無",26.00,234.00,9.00
"1-1-1-1-3-4-8-8","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-1-1-3-5-5-5","四同","無","中葫蘆","絕對秩序",22.00,6336.00,288.00
"1-1-1-1-3-5-5-6","四同","無","小葫蘆","無",23.00,362.25,15.75
"1-1-1-1-3-5-5-7","四同","無","小葫蘆","絕對秩序",24.00,3024.00,126.00
"1-1-1-1-3-5-5-8","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-3-5-6-6","四同","無","小葫蘆","無",24.00,378.00,15.75
"1-1-1-1-3-5-6-7","四同","三連順","順碰交響曲","無",25.00,900.00,36.00
"1-1-1-1-3-5-6-8","四同","無","雙對子","無",26.00,234.00,9.00
"1-1-1-1-3-5-7-7","四同","無","小葫蘆","絕對秩序",26.00,3276.00,126.00
"1-1-1-1-3-5-7-8","四同","無","雙對子","無",27.00,243.00,9.00
"1-1-1-1-3-5-8-8","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-1-1-3-6-6-6","四同","無","中葫蘆","無",25.00,900.00,36.00
"1-1-1-1-3-6-6-7","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-1-1-3-6-6-8","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-1-1-3-6-7-7","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-1-1-3-6-7-8","四同","三連順","順碰交響曲","無",28.00,1008.00,36.00
"1-1-1-1-3-6-8-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-1-1-3-7-7-7","四同","無","中葫蘆","絕對秩序",28.00,8064.00,288.00
"1-1-1-1-3-7-7-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-1-1-3-7-8-8","四同","無","小葫蘆","無",30.00,472.50,15.75
"1-1-1-1-3-8-8-8","四同","無","中葫蘆","無",31.00,1116.00,36.00
"1-1-1-1-4-4-4-4","四同","無","雙子星","無",20.00,1800.00,90.00
"1-1-1-1-4-4-4-5","四同","無","中葫蘆","無",21.00,756.00,36.00
"1-1-1-1-4-4-4-6","四同","無","中葫蘆","無",22.00,792.00,36.00
"1-1-1-1-4-4-4-7","四同","無","中葫蘆","無",23.00,828.00,36.00
"1-1-1-1-4-4-4-8","四同","無","中葫蘆","無",24.00,864.00,36.00
"1-1-1-1-4-4-5-5","四同","無","豪華四對子","無",22.00,1485.00,67.50
"1-1-1-1-4-4-5-6","四同","三連順","順碰交響曲","無",23.00,828.00,36.00
"1-1-1-1-4-4-5-7","四同","無","小葫蘆","無",24.00,378.00,15.75
"1-1-1-1-4-4-5-8","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-4-4-6-6","四同","無","豪華四對子","無",24.00,1620.00,67.50
"1-1-1-1-4-4-6-7","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-4-4-6-8","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-1-1-4-4-7-7","四同","無","豪華四對子","無",26.00,1755.00,67.50
"1-1-1-1-4-4-7-8","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-1-1-4-4-8-8","四同","無","豪華四對子","無",28.00,1890.00,67.50
"1-1-1-1-4-5-5-5","四同","無","中葫蘆","無",23.00,828.00,36.00
"1-1-1-1-4-5-5-6","四同","三連順","順碰交響曲","無",24.00,864.00,36.00
"1-1-1-1-4-5-5-7","四同","無","小葫蘆","無",25.00,393.75,15.75
"1-1-1-1-4-5-5-8","四同","無","小葫蘆","無",26.00,409.50,15.75
"1-1-1-1-4-5-6-6","四同","三連順","順碰交響曲","無",25.00,900.00,36.00
"1-1-1-1-4-5-6-7","四同","四連順","順碰交響曲","無",26.00,1170.00,45.00
"1-1-1-1-4-5-6-8","四同","三連順","順碰交響曲","無",27.00,972.00,36.00
"1-1-1-1-4-5-7-7","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-1-1-4-5-7-8","四同","無","雙對子","無",28.00,252.00,9.00
"1-1-1-1-4-5-8-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-1-1-4-6-6-6","四同","無","中葫蘆","無",26.00,936.00,36.00
"1-1-1-1-4-6-6-7","四同","無","小葫蘆","無",27.00,425.25,15.75
"1-1-1-1-4-6-6-8","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-1-1-4-6-7-7","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-1-1-4-6-7-8","四同","三連順","順碰交響曲","無",29.00,1044.00,36.00
"1-1-1-1-4-6-8-8","四同","無","小葫蘆","無",30.00,472.50,15.75
"1-1-1-1-4-7-7-7","四同","無","中葫蘆","無",29.00,1044.00,36.00
"1-1-1-1-4-7-7-8","四同","無","小葫蘆","無",30.00,472.50,15.75
"1-1-1-1-4-7-8-8","四同","無","小葫蘆","無",31.00,488.25,15.75
"1-1-1-1-4-8-8-8","四同","無","中葫蘆","無",32.00,1152.00,36.00
"1-1-1-1-5-5-5-5","四同","無","雙子星","絕對秩序",24.00,17280.00,720.00
"1-1-1-1-5-5-5-6","四同","無","中葫蘆","無",25.00,900.00,36.00
"1-1-1-1-5-5-5-7","四同","無","中葫蘆","絕對秩序",26.00,7488.00,288.00
"1-1-1-1-5-5-5-8","四同","無","中葫蘆","無",27.00,972.00,36.00
"1-1-1-1-5-5-6-6","四同","無","豪華四對子","無",26.00,1755.00,67.50
"1-1-1-1-5-5-6-7","四同","三連順","順碰交響曲","無",27.00,972.00,36.00
"1-1-1-1-5-5-6-8","四同","無","小葫蘆","無",28.00,441.00,15.75
"1-1-1-1-5-5-7-7","四同","無","豪華四對子","絕對秩序",28.00,15120.00,540.00
"1-1-1-1-5-5-7-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-1-1-5-5-8-8","四同","無","豪華四對子","無",30.00,2025.00,67.50
"1-1-1-1-5-6-6-6","四同","無","中葫蘆","無",27.00,972.00,36.00
"1-1-1-1-5-6-6-7","四同","三連順","順碰交響曲","無",28.00,1008.00,36.00
"1-1-1-1-5-6-6-8","四同","無","小葫蘆","無",29.00,456.75,15.75
"1-1-1-1-5-6-7-7","四同","三連順","順碰交響曲","無",29.00,1044.00,36.00
"1-1-1-1-5-6-7-8","四同","四連順","順碰交響曲","無",30.00,1350.00,45.00
"1-1-1-1-5-6-8-8","四同","無","小葫蘆","無",31.00,488.25,15.75
"1-1-1-1-5-7-7-7","四同","無","中葫蘆","絕對秩序",30.00,8640.00,288.00
"1-1-1-1-5-7-7-8","四同","無","小葫蘆","無",31.00,488.25,15.75
"1-1-1-1-5-7-8-8","四同","無","小葫蘆","無",32.00,504.00,15.75
"1-1-1-1-5-8-8-8","四同","無","中葫蘆","無",33.00,1188.00,36.00
